round_index,model_version,model_score,random_score,score_delta_vs_random,model_max_hits,model_mean_hits,model_ge3,model_ge4,random_max_hits,random_mean_hits,random_ge3,random_ge4
238,evo-g00613-c01-ac96dbf10a,3.570000,2.330000,1.240000,3,2.200000,1,0,2.125000,1.175000,0.250000,0.000000
239,evo-g00613-c01-ac96dbf10a,5.320000,2.753750,2.566250,4,2.200000,1,1,2.375000,1.100000,0.500000,0.125000
240,evo-g00613-c01-ac96dbf10a,2.100000,2.332500,-0.232500,2,1.000000,0,0,2.125000,1.200000,0.250000,0.000000
241,evo-g00613-c01-ac96dbf10a,3.510000,2.786250,0.723750,3,1.600000,1,0,2.375000,1.425000,0.500000,0.125000
242,evo-g00613-c01-ac96dbf10a,2.100000,2.860000,-0.760000,2,1.000000,0,0,2.500000,1.350000,0.375000,0.125000
243,evo-g00613-c01-ac96dbf10a,2.180000,3.255000,-1.075000,2,1.800000,0,0,2.750000,1.425000,0.500000,0.250000
244,evo-g00613-c01-ac96dbf10a,3.490000,2.677500,0.812500,3,1.400000,1,0,2.375000,1.275000,0.500000,0.000000
245,evo-g00613-c01-ac96dbf10a,2.120000,2.805000,-0.685000,2,1.200000,0,0,2.500000,1.300000,0.500000,0.000000
246,evo-g00613-c01-ac96dbf10a,2.100000,2.661250,-0.561250,2,1.000000,0,0,2.375000,1.550000,0.375000,0.000000
247,evo-g00613-c01-ac96dbf10a,3.510000,2.867500,0.642500,3,1.600000,1,0,2.500000,1.425000,0.375000,0.125000
248,evo-g00613-c01-ac96dbf10a,2.060000,3.048750,-0.988750,2,0.600000,0,0,2.625000,1.550000,0.500000,0.125000
249,evo-g00613-c01-ac96dbf10a,3.590000,2.460000,1.130000,3,2.400000,1,0,2.125000,1.100000,0.375000,0.125000
250,evo-g00613-c01-ac96dbf10a,3.530000,2.465000,1.065000,3,1.800000,1,0,2.250000,1.275000,0.250000,0.000000
251,evo-g00613-c01-ac96dbf10a,2.120000,2.187500,-0.067500,2,1.200000,0,0,2.000000,1.000000,0.250000,0.000000
252,evo-g00613-c01-ac96dbf10a,2.120000,2.881250,-0.761250,2,1.200000,0,0,2.500000,1.125000,0.500000,0.125000
253,evo-g00613-c01-ac96dbf10a,3.530000,2.690000,0.840000,3,1.800000,1,0,2.375000,1.400000,0.500000,0.000000
254,evo-g00613-c01-ac96dbf10a,2.120000,2.475000,-0.355000,2,1.200000,0,0,2.250000,1.375000,0.250000,0.000000
255,evo-g00613-c01-ac96dbf10a,3.510000,2.766250,0.743750,3,1.600000,1,0,2.375000,1.225000,0.500000,0.125000
256,evo-g00613-c01-ac96dbf10a,2.140000,3.192500,-1.052500,2,1.400000,0,0,2.750000,1.300000,0.625000,0.125000
257,evo-g00613-c01-ac96dbf10a,2.100000,2.516250,-0.416250,2,1.000000,0,0,2.250000,1.350000,0.375000,0.000000
258,evo-g00613-c01-ac96dbf10a,2.120000,2.481250,-0.361250,2,1.200000,0,0,2.250000,1.000000,0.375000,0.000000
259,evo-g00613-c01-ac96dbf10a,2.100000,2.820000,-0.720000,2,1.000000,0,0,2.500000,1.450000,0.500000,0.000000
260,evo-g00613-c01-ac96dbf10a,2.060000,2.366250,-0.306250,2,0.600000,0,0,2.125000,1.100000,0.375000,0.000000
261,evo-g00613-c01-ac96dbf10a,2.140000,3.740000,-1.600000,2,1.400000,0,0,3.125000,1.650000,0.750000,0.250000
262,evo-g00613-c01-ac96dbf10a,3.510000,2.582500,0.927500,3,1.600000,1,0,2.250000,1.075000,0.375000,0.125000
263,evo-g00613-c01-ac96dbf10a,1.060000,2.447500,-1.387500,1,0.600000,0,0,2.250000,1.100000,0.250000,0.000000
264,evo-g00613-c01-ac96dbf10a,3.550000,3.436250,0.113750,3,2.000000,1,0,2.875000,1.550000,0.625000,0.250000
265,evo-g00613-c01-ac96dbf10a,3.550000,3.303750,0.246250,3,2.000000,1,0,2.875000,1.225000,0.875000,0.000000
