round,draw_date,selected_meta_version,meta_top7_hits,hedge_top7_hits,meta_actual_mass,hedge_actual_mass,meta_mean_log_prob_actual,hedge_mean_log_prob_actual,meta_brier,hedge_brier
第658回,2025-12-26,meta-conservative-bacedfc8a9,1.000000,1.000000,0.186626516385,0.201068402154,-3.626555025649,-3.791118010986,0.116694879654,0.124400935073
第659回,2026-01-09,meta-conservative-bacedfc8a9,1.000000,1.000000,0.178796409335,0.141002630278,-3.670942192082,-3.963896043984,0.118959944463,0.147078093206
第660回,2026-01-16,meta-conservative-bacedfc8a9,3.000000,1.000000,0.200120051924,0.228055444452,-3.565260800123,-3.763038198312,0.112964989787,0.118475316740
第661回,2026-01-23,meta-conservative-bacedfc8a9,1.000000,3.000000,0.180982303868,0.331852620003,-3.661150291443,-3.474360842784,0.118558822837,0.099400912174
第662回,2026-01-30,meta-conservative-bacedfc8a9,2.000000,0.000000,0.194299720904,0.126863695773,-3.590386536002,-4.032065617617,0.114545476525,0.170082145028
第663回,2026-02-06,meta-conservative-bacedfc8a9,1.000000,1.000000,0.186076938307,0.133684862623,-3.629167612124,-3.993146375028,0.116985020590,0.162610089559
第664回,2026-02-13,meta-conservative-bacedfc8a9,1.000000,0.000000,0.190095052928,0.126553473704,-3.609919451588,-4.044070294780,0.115849288954,0.157547463331
第665回,2026-02-20,meta-conservative-bacedfc8a9,1.000000,4.000000,0.192279499483,0.204250341144,-3.601703625227,-3.647675454626,0.115375097413,0.130305918688
第666回,2026-02-27,meta-conservative-bacedfc8a9,1.000000,1.000000,0.192782822845,0.181014846749,-3.596074530810,-3.780895047032,0.115143420123,0.131946690085
第667回,2026-03-06,meta-conservative-bacedfc8a9,1.000000,1.000000,0.190587967546,0.233615137074,-3.611233676794,-3.616373037462,0.115792039225,0.116177128265
第668回,2026-03-13,meta-conservative-bacedfc8a9,0.000000,2.000000,0.181072128284,0.267412078208,-3.657792071362,-3.571719178944,0.118370967233,0.109842396199
第669回,2026-03-20,meta-conservative-bacedfc8a9,1.000000,1.000000,0.187555102825,0.142069241153,-3.621444197796,-3.956298753596,0.116472008359,0.156764929616
第670回,2026-03-27,meta-conservative-bacedfc8a9,1.000000,0.000000,0.188901826442,0.145809289060,-3.615327497977,-3.899443991092,0.116158040605,0.147607119690
第671回,2026-04-03,meta-conservative-bacedfc8a9,0.000000,2.000000,0.184566919699,0.262820912101,-3.637043656810,-3.597153341995,0.117340180877,0.108388105816
第672回,2026-04-10,meta-conservative-bacedfc8a9,2.000000,2.000000,0.199932023805,0.167631128328,-3.557610912546,-3.831111229845,0.112962189978,0.146160733894
第673回,2026-04-17,meta-conservative-bacedfc8a9,2.000000,3.000000,0.194526672493,0.213387767392,-3.597967725978,-3.577480738229,0.114637521184,0.126157764020
第674回,2026-04-24,meta-conservative-bacedfc8a9,1.000000,4.000000,0.189817720576,0.329840765298,-3.617269226127,-3.228937448183,0.116006869736,0.088404713207
第675回,2026-05-01,meta-conservative-bacedfc8a9,1.000000,1.000000,0.179003551893,0.154807875703,-3.670052739285,-3.907122596698,0.119643798249,0.141955820737
第676回,2026-05-08,meta-conservative-bacedfc8a9,2.000000,2.000000,0.188656908211,0.237059242062,-3.619661225386,-3.775762841250,0.116342441626,0.116656706415
第677回,2026-05-15,meta-conservative-bacedfc8a9,1.000000,2.000000,0.193706472968,0.209736759638,-3.591638658487,-3.677429250875,0.114775298167,0.134723090729
第678回,2026-05-22,meta-conservative-bacedfc8a9,2.000000,2.000000,0.191573132992,0.240619207178,-3.614560847980,-3.635114625595,0.115536218799,0.121367864962
第679回,2026-05-29,meta-conservative-bacedfc8a9,3.000000,4.000000,0.211628425079,0.376471885487,-3.515340852607,-3.203342291426,0.109851558008,0.084394251491
第680回,2026-06-05,meta-conservative-bacedfc8a9,2.000000,2.000000,0.197975425800,0.227558350189,-3.611782300916,-3.752875846859,0.115538275051,0.131109172924
第681回,2026-06-12,meta-conservative-bacedfc8a9,1.000000,1.000000,0.177746935689,0.147432534705,-3.677284479291,-3.892927545625,0.120318194468,0.156651355602
第682回,2026-06-19,meta-conservative-bacedfc8a9,0.000000,0.000000,0.168970303449,0.108564880748,-3.724695539696,-4.177066302477,0.122223202495,0.160361344011
第683回,2026-06-26,meta-conservative-bacedfc8a9,3.000000,1.000000,0.199750735986,0.222091246470,-3.557412038548,-3.821562937958,0.112913813367,0.127729557657
第684回,2026-07-03,meta-conservative-bacedfc8a9,1.000000,1.000000,0.188969954910,0.141772981122,-3.614341830613,-3.940984702637,0.116101287937,0.161182565862
第685回,2026-07-10,meta-conservative-bacedfc8a9,1.000000,1.000000,0.187494159649,0.259859214461,-3.622783394561,-3.749722576515,0.116513986397,0.118162499147
第686回,2026-07-17,meta-conservative-bacedfc8a9,2.000000,1.000000,0.188662204016,0.138113102810,-3.618119971018,-3.991045793065,0.116145331154,0.164767610200
第687回,2026-07-24,meta-conservative-bacedfc8a9,0.000000,2.000000,0.185807159604,0.286214244816,-3.631779602563,-3.694458015942,0.116959960318,0.113433070376
第688回,2026-07-31,meta-conservative-bacedfc8a9,3.000000,0.000000,0.200791166860,0.109916555130,-3.556152702794,-4.179001927660,0.112660584464,0.179291427380
第689回,2026-08-07,meta-conservative-bacedfc8a9,0.000000,2.000000,0.182277726661,0.146875614235,-3.650798149482,-3.939310524989,0.118230490589,0.166718084117
第690回,2026-08-14,meta-conservative-bacedfc8a9,1.000000,1.000000,0.192215927071,0.137371571054,-3.597428834949,-3.973807654026,0.115297105347,0.156191513997
第691回,2026-08-21,meta-conservative-bacedfc8a9,2.000000,1.000000,0.188852040423,0.254440442374,-3.626605784352,-3.718052211184,0.116355128535,0.114828882607
第692回,2026-08-28,meta-conservative-bacedfc8a9,0.000000,2.000000,0.186610434196,0.174102753214,-3.627350554286,-3.770055670501,0.116829138925,0.149785354932
